Country,ZIP
GBR,GBR100
GBR,GBR100
GBR,GBR100
GBR,GBR100
GBR,GBR100
GBR,GBR101
GBR,GBR101
GBR,GBR101
GBR,GBR101
USA,USAAMZ
USA,USADTV
USA,USAFRN
USA,USAFUB
USA,USAGNS
USA,USAHUL
USA,USAIMD
USA,USAPEA
USA,USAPHI
USA,USAPLU
USA,USASAM
USA,USASLI
USA,USAVID
USA,USAVIZ
USA,USAXUM
USA,USAYOU
