Austin ESPN/Local blackouts	ESPNLO1		20384	USA
COX LAS VEGAS ESPN 2 B/O	CXLVEN2	SDTV	40590	USA
COX LAS VEGAS ESPN 2 B/O HD	ESPN2LV	HDTV	61027	USA
Cox Las Vegas ESPN Deportes HD	COXESDH	HDTV	97427	USA
Cox Omaha ESPN	CXESPN	SDTV	65483	USA
Cox Omaha ESPN2	CXESPN2	SDTV	65485	USA
ESPN	ESPN	SDTV	10179	USA
ESPN (Alternate)	ESPNA	SDTV	19620	USA
ESPN (Alternate)	ESPNRO	SDTV	25719	USA
ESPN (Tampa)	ESPNTPA	SDTV	77570	USA
